nr,bpm,spec flat,spec skew,kurt,zero cross,hpss,vocal,bin1,bin2,bin3,bin4,bin5,bin6,bin1 mean freq,bin1 std,bin1 q25,bin1 q75,bin2 mean freq,bin2 std,bin2 q25,bin2 q75,bin3 mean freq,bin3 std,bin3 q25,bin3 q75,bin4 mean freq,bin4 std,bin4 q25,bin4 q75,bin5 mean freq,bin5 std,bin5 q25,bin5 q75,bin6 mean freq,bin6 std,bin6 q25,bin6 q75
10,107,23,2,-0.43193172943859315,45494,1,1,391798,1103,300,88,27,5,0.0,0.0,0.0,0.0,5.532473e-06,2.9165825e-05,4.799412867129149e-09,6.703360782012169e-07,0.00062772026,0.00012516775,0.000522367306984961,0.0007196411315817386,0.0010912089,0.00012681079,0.0009804127039387822,0.0011919557000510395,0.0015483998,0.00012300351,0.0014375335304066539,0.001642445829929784,0.002015378,0.00014387112,0.0018805786967277527,0.0021476239198818803
11,107,154,2,1.9848270225202551,33130,1,0,392829,382,68,30,10,2,0,0,0,0,1.4665768e-06,1.1023831e-05,3.2710106845357245e-10,3.3829017809239303e-08,0.00034216323,6.554067e-05,0.00028616055351449177,0.0003894919063895941,0.00061819085,7.2938565e-05,0.0005542244034586474,0.0006758387753507122,0.00092007685,6.924493e-05,0.0008705303043825552,0.0009782009292393923,0.0011416139,6.604157e-05,0.0010742088488768786,0.0011803987435996532
12,89,0,2,4.681043026505583,18999,0,0,393126,104,33,30,22,6,0.0,0.0,0.0,0.0,1.9368267e-06,2.3940114e-05,1.2413240465906916e-12,8.351554114938153e-09,0.0018429091,0.0004064628,0.0014659055741503835,0.0022385675692930818,0.0029681162,0.00035884941,0.00270901620388031,0.0030865855515003204,0.004504119,0.00037312775,0.004214516608044505,0.004861049470491707,0.0056560216,0.00035359577,0.005320687894709408,0.005969902966171503
13,95,19,2,-0.1449168966183465,14951,1,0,392462,732,114,7,4,2,0.0,0.0,0.0,0.0,1.2858164e-06,1.7327839e-05,1.8993385423465847e-12,5.874247754888984e-10,0.00061178015,0.00012102734,0.0005084133154014125,0.0006966925866436213,0.0010618326,0.00011853632,0.0009613834408810362,0.001131632539909333,0.0015281617,8.886786e-05,0.0014847692800685763,0.0015625260421074927,0.0020708588,0.000107466956,0.00196794921066612,0.002173589658923447
14,112,121,2,0.9725590948368827,76750,1,0,398068,240,39,4,0,1,0,0,0,0,3.264441e-06,1.6745851e-05,2.1157465016075072e-10,3.266630699272355e-07,0.00045651163,8.524345e-05,0.0003854426831821911,0.0005089917540317401,0.0008629761,9.7443335e-05,0.0007731073710601777,0.0009333142952527851,0.0011728986,4.199949e-05,0.001139741245424375,0.001209665060741827,0,0,0,0
15,123,221,2,2.505282434833446,57968,1,0,393092,156,44,19,9,1,0,0,0,0,2.1069827e-06,1.7980987e-05,2.314674951708895e-09,2.4267576037573235e-07,0.0008850264,0.00016488398,0.0007551560265710577,0.0009782592242117971,0.0015853487,0.00016292992,0.0014449051523115486,0.0017058364755939692,0.0022532325,0.00013924524,0.0021297725616022944,0.0023599297273904085,0.002952419,0.00018754142,0.0028171204030513763,0.0031307253520935774
16,95,464,2,1.9245150312936934,63900,0,0,393075,153,50,27,12,4,0,0,0,0,2.8224028e-06,2.5841216e-05,2.5631907707435175e-09,2.9286883318491164e-07,0.0013385698,0.0002714723,0.00111805135384202,0.001558160176500678,0.0023823879,0.0002904984,0.0021202771458774805,0.002619112958200276,0.0033474648,0.00023662111,0.0031728711910545826,0.003540448029525578,0.004228139,0.00029032156,0.004019846441224217,0.004365187603980303
17,103,78,2,0.35757346560744097,53688,1,0,391126,1026,222,30,8,6,0.0,0.0,0.0,0.0,2.3601892e-06,1.605076e-05,2.466222559505127e-09,1.2107886959711323e-07,0.00036431523,7.518893e-05,0.00029957386141177267,0.00041650076309451833,0.00062083884,6.687033e-05,0.0005646798963425681,0.0006612737197428942,0.0008870939,6.779198e-05,0.0008286821539513767,0.000927969187614508,0.0011801779,7.195647e-05,0.0011278253223281354,0.0012204507074784487
18,123,0,2,-0.3636837954040022,83828,1,1,390882,1786,445,138,61,9,0,0,0,0,5.6831245e-06,2.2536558e-05,7.3570672887157684e-09,8.397481963129394e-07,0.0003863253,7.883972e-05,0.0003178589031449519,0.0004478128321352415,0.00066387065,7.416676e-05,0.0006007381016388535,0.000717088405508548,0.0009486775,7.692552e-05,0.0008846373966662213,0.0010092665906995535,0.0012211389,7.4991454e-05,0.0011490543838590384,0.0012902839807793498
19,89,260,2,2.6899158957651617,48431,1,0,392852,389,50,17,11,2,0,0,0,0,2.358579e-06,2.1888547e-05,3.7630408337985255e-11,5.43512008732705e-08,0.0008483715,0.00015845563,0.0007146343705244362,0.0009594116709195077,0.0014935507,0.0001529942,0.0013854479475412518,0.0015830805932637304,0.0021263778,0.00018748634,0.001982791582122445,0.0022697793319821358,0.0027001451,0.00016232922,0.002548816497437656,0.002807523705996573
